passer,pass_grade,receptions,sideouts,expected_sideout_pct
Mina Olgar,"Positive, attack",5,4,80.0
Iris Canko,"Positive, attack",23,18,78.3
Stefania Alupei,"OK, no first tempo possible",9,7,77.8
Molly McCluskey,"Positive, attack",13,10,76.9
Ireland McNees,"OK, no first tempo possible",56,41,73.2
Kayla Uhlick,Perfect pass,21,15,71.4
Ireland McNees,Perfect pass,19,13,68.4
Paulina Baillie,Perfect pass,22,15,68.2
Madison Johnson,"Positive, attack",6,4,66.7
Ireland McNees,"Positive, attack",143,92,64.3
Kayla Uhlick,"Positive, attack",136,87,64.0
Maria Fernanda Afonso,"Positive, attack",82,52,63.4
Iris Canko,"OK, no first tempo possible",16,10,62.5
Maria Fernanda Afonso,Perfect pass,8,5,62.5
Stefania Alupei,"Positive, attack",35,21,60.0
Paulina Baillie,"Negative, limited attack",54,32,59.3
Kayla Uhlick,"Negative, limited attack",51,29,56.9
Maria Fernanda Afonso,"OK, no first tempo possible",34,19,55.9
Kayla Uhlick,"OK, no first tempo possible",43,23,53.5
Paulina Baillie,"Positive, attack",168,84,50.0
Paulina Baillie,"OK, no first tempo possible",47,23,48.9
Maria Fernanda Afonso,"Negative, limited attack",41,17,41.5
Ireland McNees,"Poor, no attack",5,2,40.0
Ireland McNees,"Negative, limited attack",53,19,35.8
Stefania Alupei,"Negative, limited attack",10,3,30.0
Iris Canko,"Negative, limited attack",18,4,22.2
