passer,setter_group,receptions,sideouts,expected_sideout_pct
Molly McCluskey,Maija Nepszy,8,7,87.5
Mina Olgar,Mika Rome,6,5,83.3
Katie Rapp,Maija Nepszy,8,6,75.0
Maria Fernanda Afonso,Maija Nepszy,78,51,65.4
Kayla Uhlick,Mika Rome,124,78,62.9
Iris Canko,Maija Nepszy,8,5,62.5
Ireland McNees,Mika Rome,147,89,60.5
Ireland McNees,Maija Nepszy,129,78,60.5
Kayla Uhlick,Maija Nepszy,129,76,58.9
Iris Canko,Mika Rome,52,29,55.8
Molly McCluskey,Mika Rome,9,5,55.6
Paulina Baillie,Mika Rome,141,75,53.2
Stefania Alupei,Maija Nepszy,55,29,52.7
Paulina Baillie,Maija Nepszy,151,79,52.3
Madison Johnson,Mika Rome,6,3,50.0
Maria Fernanda Afonso,Mika Rome,90,44,48.9
