setter_group,hitter,receptions,sideouts,expected_sideout_pct
Mika Rome,Mina Olgar,33,26,78.8
Mika Rome,Mika Rome,23,18,78.3
Maija Nepszy,Maija Nepszy,14,10,71.4
Maija Nepszy,Stefania Alupei,40,28,70.0
Mika Rome,Madison Johnson,48,31,64.6
Maija Nepszy,Molly McCluskey,139,88,63.3
Maija Nepszy,Jasmine Saran,120,76,63.3
Maija Nepszy,Lucia Barroso,8,5,62.5
Maija Nepszy,Maria Fernanda Afonso,86,52,60.5
Mika Rome,Maria Fernanda Afonso,130,75,57.7
Mika Rome,Molly McCluskey,140,80,57.1
Mika Rome,Jasmine Saran,56,32,57.1
Maija Nepszy,Katie Rapp,28,15,53.6
Maija Nepszy,Madison Johnson,28,15,53.6
Maija Nepszy,Ireland McNees,77,39,50.6
Mika Rome,Ireland McNees,130,65,50.0
Maija Nepszy,Mina Olgar,12,6,50.0
